"","ID","NAME","LAT","LONG","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"321","ID31400","PRIEST-VALLEY",36.18,-120.7,701,98,86,85,40,8,2,1,2,12,25,70,80
"322","ID31452","BIG-TUJUNGA-DAM-FC46DE",34.3,-118.18,706,125,138,120,53,12,1,1,5,15,15,92,86
"323","ID31453","EDWARDS/AFB",34.9,-117.87,706,20.8,14,9.3,8.8,0.9,0.4,1.1,2.7,1.6,2.4,18.5,12.6
"324","ID31509","LANCASTER/FSS",34.73,-118.22,712,34.7,47.4,39.8,9.4,3.4,1.4,3.2,2.3,6.1,8,13.1,28.8
"325","ID31519","HAYFORK-RANGER-STATION",40.55,-123.16,713,163,122,115,43,21,14,5,11,24,57,144,162
"326","ID31567","TIGER-CREEK-P-H",38.45,-120.48,718,207,173,178,103,30,10,5,7,25,67,171,181
"327","ID31615","ALISO-CAN-OAT-MT-FC446",34.31,-118.55,721,114,107,93,37,8,2,0,6,11,15,82,78
"328","ID31758","COLFAX",39.11,-120.95,735,252.2,198.8,180,93,41.9,15.9,3,5.1,20.6,70.6,170.4,205.8
"329","ID31867","INYOKERN",35.66,-117.83,749,18,22,17,5,2,1,5,10,6,2,13,13
"330","ID31992","PALMDALE            USA",34.6,-118.1,759,39.1,30.1,29,13.2,3.5,1.1,1.4,3.5,5.4,6.7,22.6,26.2
"331","ID32134","PALMDALE",34.63,-118.08,768,30.1,20.6,15.3,8.8,1.4,0.8,1.2,1.3,2.4,1.6,15.2,17.1
"332","ID32261","NEVADA CITY         USA",39.3,-121,783,278.9,228.3,207.9,110.7,42.2,11.9,1.9,4.9,27,79,204,239.8
"333","ID32262","CHALLENGE-RANGER-STN",39.48,-121.21,783,318,255,253,125,41,15,5,7,29,103,256,274
"334","ID32353","BEAUMONT            USA",33.9,-117,792,91,75,79.4,42.3,18.1,4.9,5.6,5.8,15,15.8,50.3,60.9
"335","ID32354","BEAUMONT",33.93,-116.96,792,82,79,84,38,17,6,6,8,18,16,55,66
"336","ID32512","YREKA",41.72,-122.64,801,91.9,55.1,46.5,25.6,24.4,24.8,10.9,14.5,16.5,33.5,66.1,93
"337","ID32517","CAMPO",32.63,-116.46,802,64,59,67,28,7,2,8,15,11,16,45,57
"338","ID32524","CAMPO               USA",32.6,-116.5,803,68.6,59.4,66.9,31.4,9.5,1.4,10.2,13.8,9.9,14.3,39.4,53.2
"339","ID32618","MAD-RIVER-RANGER-STN",40.45,-123.53,815,261,217,201,94,42,12,4,17,33,98,242,274
"340","ID32689","GRASS VALLEY        USA",39.2,-121,821,294.8,203.2,184,121.2,60.8,11,0.7,3.6,18.5,81.4,181.3,260.9
"341","ID32710","HENSHAW-DAM",33.23,-116.76,823,118,113,124,51,15,2,11,17,17,21,76,96
"342","ID32711","NORTH FORK          USA",37.2,-119.5,823,156.8,136.7,131.2,80.4,27.8,8.2,1.5,1.6,17.5,33.5,108,137.8
"343","ID32712","DE SABLA            USA",39.9,-121.6,823,321.5,255.7,229.6,126.5,46.7,20.9,1.7,6,35.1,103.4,246.6,276.6
"344","ID32723","KERN-RIVER-P-H-3",35.78,-118.43,824,71,60,55,22,6,3,4,7,12,9,39,54
"345","ID32725","COPCO-1-DAM",41.98,-122.33,824,71,52,53,34,30,21,7,16,19,37,80,84
"346","ID32775","FORT-JONES-RANGER-STN",41.6,-122.85,831,95,66,55,28,18,16,8,15,21,36,87,105
"347","ID32778","LYTLE-CREEK-RANGER-STN",34.23,-117.48,832,186,168,167,64,18,1,2,5,18,23,108,125
"348","ID32779","WOFFORD-HEIGHTS",35.71,-118.45,832,65,57,51,20,6,2,2,7,10,9,43,53
"349","ID32825","HARRISON-GULCH-R-S",40.36,-122.96,838,163,146,133,53,20,12,2,11,22,55,150,155
"350","ID32888","SANTA ANA           USA",34.1,-117.1,842,108,80.9,75.5,64.6,25.2,2.7,2.7,5.6,14.4,14.8,60.1,87.7
"351","ID32938","NEVADA-CITY",39.25,-121.03,848,258,226,216,108,31,12,5,8,29,85,226,229
"352","ID32943","MOJAVE",35.06,-118.15,849,28,28,23,8,3,1,4,5,8,6,21,20
"353","ID33092","GREENVIEW",41.55,-122.9,860,105,89,50,29,21,12,4,8,13,38,91,107
"354","ID33136","GEORGE/AFB",34.58,-117.38,869,12.3,10.4,9.3,6.2,2.8,0.3,2.5,5.4,0.9,1.7,14.4,12.6
"355","ID33161","VICTORVILLE-PUMP-PLANT",34.53,-117.3,871,21,22,22,9,5,1,4,8,10,7,15,18
"356","ID33218","PIT-RIVER-P-H-1",41,-121.5,878,109,82,81,48,37,21,3,12,20,50,92,109
"357","ID33298","DOWNIEVILLE",39.56,-120.83,888,272,235,229,119,57,21,7,12,35,109,240,245
"358","ID33361","MILL CREEK          USA",34.1,-117,899,90,64.7,69.3,59.6,21.8,2.9,3.4,10.7,16.1,17.1,56.6,73.7
"359","ID33446","ACTON-ESDO-CNTY-FC261F",34.5,-118.26,902,48,50,50,19,6,1,1,6,7,8,39,36
"360","ID33452","CECILVILLE-1-SE",41.13,-123.13,902,156,117,110,56,36,19,8,20,23,81,151,165
"361","ID33593","DUDLEYS             USA",37.8,-120.1,914,180.3,140.7,135.3,95.8,26.4,9.8,2.2,4,5.9,41.3,132.9,176.6
"362","ID33644","GEORGETOWN-RANGER-STN",38.91,-120.78,915,243,199,198,111,31,12,6,7,25,83,206,222
"363","ID33670","FORESTHILL-RANGER-STN",39.01,-120.85,919,227,190,181,99,35,11,5,8,27,82,197,208
"364","ID33671","HAT-CREEK-P-H-1",40.93,-121.55,919,75,62,68,33,32,20,4,11,17,38,63,73
"365","ID33735","IOWA-HILL",39.08,-120.83,926,229,182,185,98,36,12,6,9,27,84,198,204
"366","ID33775","APPLE-VALLEY",34.58,-117.18,932,24,29,26,13,6,2,3,8,8,10,18,22
"367","ID33780","FAIRMONT",34.71,-118.44,933,87.9,86.4,61.4,30.4,9.9,1.6,1.3,3,7.7,9.7,45.2,55.3
"368","ID33942","VINCENT-FIRE-STN-FC12O",34.48,-118.13,956,35,36,37,16,5,2,1,9,8,9,29,26
"369","ID33951","GLENNVILLE",35.71,-118.7,957,86,73,84,47,15,4,1,5,15,20,58,69
"370","ID33952","BURNEY",40.88,-121.66,957,120,88,91,49,32,20,3,11,21,50,97,116
"371","ID34053","WARNER SPRINGS      USA",33.3,-116.6,969,64.2,48.6,55.1,36,9.7,1.7,10.7,23.8,9.7,14.7,39.1,47.8
"372","ID34088","CALLAHAN",41.31,-122.8,971,86,62,58,35,22,20,7,11,17,40,84,98
"373","ID34230","MC CLOUD            USA",41.3,-122.1,991,244.5,196.7,171.9,89,48.9,22.8,7.2,9.8,31.1,89.5,184.1,214.2
"374","ID34404","MC-CLOUD",41.25,-122.13,1000,216,183,185,87,42,20,6,12,29,86,198,205
"375","ID34512","GOLD-RUN-2-SW",39.15,-120.86,1012,257,217,212,106,41,15,6,9,30,92,216,231
"376","ID34716","QUINCY",39.91,-120.95,1039,190,149,143,68,29,20,5,11,23,78,158,170
"377","ID34717","QUINCY",39.97,-120.95,1039,206,165.3,138.9,72.4,39.4,19.2,4.9,8.1,19.1,70.6,131.8,177.5
"378","ID34771","PACIFIC-HOUSE",38.75,-120.5,1049,213,186,189,112,42,15,8,10,28,78,186,200
"379","ID34966","DESCANSO-RANGER-STN",32.85,-116.61,1067,98,99,112,53,17,3,7,12,12,26,68,85
"380","ID34968","CAMPTONVILLE        USA",39.5,-121.1,1067,336.2,205.5,173.3,123.1,55.4,18.3,0.5,5.8,18.1,94.7,196,312.1
"381","ID35016","STIRLING CITY       USA",39.9,-121.5,1072,309,177,229,70,68,23,1,8,38,252,306,75.2
"382","ID35098","SHINGLETON-2-E",40.5,-121.85,1084,177,151,161,92,53,23,7,18,40,82,170,169
"383","ID35104","GREENVILLE-RANGER-STN",40.13,-120.93,1085,185,152,143,64,35,20,6,12,23,67,150,157
"384","ID35114","RANDSBURG",35.36,-117.65,1088,28,28,25,9,2,1,4,7,5,6,18,20
"385","ID35141","LEBEC",34.83,-118.86,1093,48,63,61,27,10,1,1,4,9,12,47,39
"386","ID35148","WEED-FIRE-DEPARTMENT",41.43,-122.38,1094,101,79,93,51,41,22,10,13,15,46,94,94
"387","ID35161","MOUNT SHASTA",41.32,-122.32,1095,190.6,152,127,69.9,46.1,25.1,8.3,10.6,21.8,59.2,134.5,156.4
"388","ID35528","SALT-SPRINGS-PWR-HOUSE",38.5,-120.21,1128,197,175,172,101,42,18,7,11,34,68,173,167
"389","ID35799","BUCKHORN",40.86,-121.85,1158,260,224,220,125,68,29,7,22,49,123,257,268
"390","ID35858","HAIWEE",36.13,-117.95,1166,27,33,27,8,7,3,9,13,10,4,21,24
"391","ID35965","HETCH-HETCHY",37.95,-119.78,1180,145,141,135,87,34,20,5,10,24,53,134,131
"392","ID36044","ANZA",33.55,-116.66,1193,58,61,59,25,11,2,12,20,21,12,37,50
"393","ID36217","INDEPENDENCE",36.8,-118.2,1205,29.6,26.5,13.1,6.5,4.4,3.4,3.8,3.4,5.5,3.6,14.9,22.1
"394","ID36230","YOSEMITE-PARK-HDQTRS",37.75,-119.58,1209,156,153,133,72,32,15,10,7,24,54,139,139
"395","ID36495","TEHACHAPI",35.13,-118.45,1224,41,41,50,22,10,3,2,10,9,10,38,40
"396","ID36538","TULELAKE",41.96,-121.46,1230,30,26,28,21,23,22,7,15,13,25,36,36
"397","ID36752","BISHOP/ARPT",37.37,-118.37,1253,23.2,19,12.1,8,6.8,3.4,3.2,3,5.1,2.6,13.7,17.1
"398","ID36838","SUSANVILLE AP",40.39,-120.57,1265,69.2,50.9,35,15.4,19.5,15,7.1,4.9,11.9,29.3,42.8,61.7
"399","ID36906","ADIN-RANGER-STATION",41.2,-120.95,1279,55,42,43,31,37,23,6,13,20,34,50,50
"400","ID36961","MOUNT-HAMILTON",37.33,-121.65,1282,86,81,85,49,14,4,1,2,10,33,86,79
"401","ID36999","SIERRA-CITY",39.56,-120.63,1289,298,262,237,118,66,25,9,20,39,116,257,260
"402","ID37033","DOYLE",40.03,-120.1,1292,49,37,29,15,21,14,7,8,11,19,42,41
"403","ID37061","MOUNT-HEBRON-R-S",41.78,-122.03,1295,36,29,28,19,24,24,8,14,14,26,48,49
"404","ID37263","CANBY-RANGER-STATION",41.45,-120.86,1314,47,42,44,31,30,20,5,13,17,32,52,54
"405","ID37351","MITCHELL-CAVERNS",34.93,-115.53,1326,29,34,31,15,8,3,22,46,17,16,20,25
"406","ID37424","DOYLE-4-SSE",39.96,-120.08,1338,72,63,46,24,29,21,12,11,16,31,70,63
"407","ID37476","ALTURAS-RANGER-STATION",41.5,-120.55,1341,35,30,32,27,29,23,6,12,14,22,39,35
"408","ID37585","DEER-CREEK-FOREBAY",39.3,-120.83,1358,314,271,259,127,56,20,7,13,36,100,259,268
"409","ID37777","FORT-BIDWELL",41.85,-120.13,1372,59,50,47,33,28,22,8,14,18,29,61,64
"410","ID37796","MATHER",37.88,-119.85,1375,141,130,128,81,32,12,3,7,20,48,125,124
"411","ID37799","SANDBERG/WSMO",34.75,-118.73,1376,57.5,33.3,32.4,26.4,5.2,1,0.8,1,2.6,5.5,45.5,49.2
"412","ID37878","CHESTER             USA",40.3,-121.2,1387,158.9,135.2,107.9,51.6,31.8,22.4,7.4,10,22.6,54.9,114.7,136.7
"413","ID37884","CANYON DAM          USA",40.2,-121.1,1388,195.8,162.1,137.4,66.7,37,18.4,5.3,8.8,22.8,62.2,134,163.3
"414","ID37895","CANYON-DAM",40.16,-121.08,1390,182,151,144,66,31,19,5,11,24,64,144,155
"415","ID38105","CUYAMACA",32.99,-116.59,1415,156.2,149.3,162.2,75.5,30.8,5.4,11.6,18.7,23.2,31.7,88,116.2
